"exercise_slug","legacy_asset_path","phase_id","variant_key","replacement_asset_path","asset_version","replacement_status"
"machine-pullover","backend/assets/exercise-guides/machine-pullover-start.svg","eccentric_end","canonical_bilateral_selectorized_elbow_pad","backend/assets/exercise-guides/human-v1/machine-pullover/eccentric_end-480w.webp","120e-v1","replaced_gate_b_approved"
"machine-pullover","backend/assets/exercise-guides/machine-pullover-active.svg","concentric_end","canonical_bilateral_selectorized_elbow_pad","backend/assets/exercise-guides/human-v1/machine-pullover/concentric_end-480w.webp","120e-v1","replaced_gate_b_approved"
"independent-lever-shoulder-press","backend/assets/exercise-guides/independent-lever-shoulder-press-start.svg","eccentric_end","canonical_bilateral_plate_loaded_independent","backend/assets/exercise-guides/human-v1/independent-lever-shoulder-press/eccentric_end-480w.webp","120e-v1","replaced_gate_b_approved"
"independent-lever-shoulder-press","backend/assets/exercise-guides/independent-lever-shoulder-press-active.svg","concentric_end","canonical_bilateral_plate_loaded_independent","backend/assets/exercise-guides/human-v1/independent-lever-shoulder-press/concentric_end-480w.webp","120e-v1","replaced_gate_b_approved"
"machine-decline-chest-press","backend/assets/exercise-guides/machine-decline-chest-press-start.svg","eccentric_end","canonical_bilateral_selectorized_decline","backend/assets/exercise-guides/human-v1/machine-decline-chest-press/eccentric_end-480w.webp","120e-v1","replaced_gate_b_approved"
"machine-decline-chest-press","backend/assets/exercise-guides/machine-decline-chest-press-active.svg","concentric_end","canonical_bilateral_selectorized_decline","backend/assets/exercise-guides/human-v1/machine-decline-chest-press/concentric_end-480w.webp","120e-v1","replaced_gate_b_approved"
"machine-triceps-extension","backend/assets/exercise-guides/machine-triceps-extension-start.svg","eccentric_end","canonical_bilateral_selectorized_elbow_pad","backend/assets/exercise-guides/human-v1/machine-triceps-extension/eccentric_end-480w.webp","120e-v1","replaced_gate_b_approved"
"machine-triceps-extension","backend/assets/exercise-guides/machine-triceps-extension-active.svg","concentric_end","canonical_bilateral_selectorized_elbow_pad","backend/assets/exercise-guides/human-v1/machine-triceps-extension/concentric_end-480w.webp","120e-v1","replaced_gate_b_approved"
"chest-supported-dumbbell-row","backend/assets/exercise-guides/chest-supported-dumbbell-row-start.svg","eccentric_end","canonical_bilateral_incline_bench_dumbbell","backend/assets/exercise-guides/human-v1/chest-supported-dumbbell-row/eccentric_end-480w.webp","120e-v1","replaced_gate_b_approved"
"chest-supported-dumbbell-row","backend/assets/exercise-guides/chest-supported-dumbbell-row-active.svg","concentric_end","canonical_bilateral_incline_bench_dumbbell","backend/assets/exercise-guides/human-v1/chest-supported-dumbbell-row/concentric_end-480w.webp","120e-v1","replaced_gate_b_approved"
"pendulum-squat","backend/assets/exercise-guides/pendulum-squat-start.svg","eccentric_end","canonical_bilateral_plate_loaded_pendulum","backend/assets/exercise-guides/human-v1/pendulum-squat/eccentric_end-480w.webp","120e-v1","replaced_gate_b_approved"
"pendulum-squat","backend/assets/exercise-guides/pendulum-squat-active.svg","concentric_end","canonical_bilateral_plate_loaded_pendulum","backend/assets/exercise-guides/human-v1/pendulum-squat/concentric_end-480w.webp","120e-v1","replaced_gate_b_approved"
"plate-loaded-leg-press","backend/assets/exercise-guides/plate-loaded-leg-press-start.svg","eccentric_end","canonical_bilateral_plate_loaded_sled","backend/assets/exercise-guides/human-v1/plate-loaded-leg-press/eccentric_end-480w.webp","120e-v1","replaced_gate_b_approved"
"plate-loaded-leg-press","backend/assets/exercise-guides/plate-loaded-leg-press-active.svg","concentric_end","canonical_bilateral_plate_loaded_sled","backend/assets/exercise-guides/human-v1/plate-loaded-leg-press/concentric_end-480w.webp","120e-v1","replaced_gate_b_approved"
"unilateral-leg-press","backend/assets/exercise-guides/unilateral-leg-press-start.svg","eccentric_end","canonical_unilateral_plate_loaded_sled","backend/assets/exercise-guides/human-v1/unilateral-leg-press/eccentric_end-480w.webp","120e-v1","replaced_gate_b_approved"
"unilateral-leg-press","backend/assets/exercise-guides/unilateral-leg-press-active.svg","concentric_end","canonical_unilateral_plate_loaded_sled","backend/assets/exercise-guides/human-v1/unilateral-leg-press/concentric_end-480w.webp","120e-v1","replaced_gate_b_approved"
"machine-hip-thrust","backend/assets/exercise-guides/machine-hip-thrust-start.svg","eccentric_end","canonical_bilateral_plate_loaded_lap_pad","backend/assets/exercise-guides/human-v1/machine-hip-thrust/eccentric_end-480w.webp","120e-v1","replaced_gate_b_approved"
"machine-hip-thrust","backend/assets/exercise-guides/machine-hip-thrust-active.svg","concentric_end","canonical_bilateral_plate_loaded_lap_pad","backend/assets/exercise-guides/human-v1/machine-hip-thrust/concentric_end-480w.webp","120e-v1","replaced_gate_b_approved"
"smith-split-squat","backend/assets/exercise-guides/smith-split-squat-start.svg","eccentric_end","canonical_unilateral_smith_floor_rear_foot","backend/assets/exercise-guides/human-v1/smith-split-squat/eccentric_end-480w.webp","120e-v1","replaced_gate_b_approved"
"smith-split-squat","backend/assets/exercise-guides/smith-split-squat-active.svg","concentric_end","canonical_unilateral_smith_floor_rear_foot","backend/assets/exercise-guides/human-v1/smith-split-squat/concentric_end-480w.webp","120e-v1","replaced_gate_b_approved"
"machine-glute-kickback","backend/assets/exercise-guides/machine-glute-kickback-start.svg","eccentric_end","canonical_unilateral_standing_lever_footplate","backend/assets/exercise-guides/human-v1/machine-glute-kickback/eccentric_end-480w.webp","120e-v1","replaced_gate_b_approved"
"machine-glute-kickback","backend/assets/exercise-guides/machine-glute-kickback-active.svg","concentric_end","canonical_unilateral_standing_lever_footplate","backend/assets/exercise-guides/human-v1/machine-glute-kickback/concentric_end-480w.webp","120e-v1","replaced_gate_b_approved"
"v-squat-machine","backend/assets/exercise-guides/v-squat-machine-start.svg","eccentric_end","canonical_bilateral_plate_loaded_v_squat","backend/assets/exercise-guides/human-v1/v-squat-machine/eccentric_end-480w.webp","120e-v1","replaced_gate_b_approved"
"v-squat-machine","backend/assets/exercise-guides/v-squat-machine-active.svg","concentric_end","canonical_bilateral_plate_loaded_v_squat","backend/assets/exercise-guides/human-v1/v-squat-machine/concentric_end-480w.webp","120e-v1","replaced_gate_b_approved"
"reverse-hyperextension","backend/assets/exercise-guides/reverse-hyperextension-start.svg","eccentric_end","canonical_bilateral_plate_loaded_reverse_hyper","backend/assets/exercise-guides/human-v1/reverse-hyperextension/eccentric_end-480w.webp","120e-v1","replaced_gate_b_approved"
"reverse-hyperextension","backend/assets/exercise-guides/reverse-hyperextension-active.svg","concentric_end","canonical_bilateral_plate_loaded_reverse_hyper","backend/assets/exercise-guides/human-v1/reverse-hyperextension/concentric_end-480w.webp","120e-v1","replaced_gate_b_approved"
